Tag,Datum,Zeit,Home,Away,Resultat,Drittel,OT/SO,Status,Versch.,Stadion,Zus.,TV/Online,Id,Liga,Region,Phase,SVS_Home,SVS_Away,
Sa,03/01/2026,19:45:00,HC Davos,HC Ambri-Piotta,07:03, 1:0|2:1|4:2,,Ende,FALSE,"zondacrypto-Arena, 7270 Davos-Platz GR",6547,"MYSPORTS,TELETICINO,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
Sa,03/01/2026,19:45:00,HC Lugano,Fribourg-Gottéron,03:02, 2:1|1:1|0:0,,Ende,FALSE,"Cornèr Arena, 6948 Porza Ti",6422,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,03/01/2026,19:45:00,SC Rapperswil-Jona Lakers,HC Ajoie,02:01, 1:1|0:0|0:0|1:0,OT,Ende,FALSE,"St.Galler Kantonalbank Arena, 8640 Rapperswil SG",5026,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,03/01/2026,19:45:00,SCL Tigers,EHC Biel-Bienne,04:00, 2:0|1:0|1:0,,Ende,FALSE,"emmental versicherung arena , 3550 Langnau i. E. BE",6000,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,03/01/2026,19:45:00,ZSC Lions,Lausanne HC,03:02, 1:1|1:1|1:0,,Ende,FALSE,"Swiss Life Arena, 8048 Zürich ZH",12000,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,03/01/2026,19:45:00,EV Zug,EHC Kloten,01:02, 0:0|1:1|0:0|0:1,OT,Ende,FALSE,"OYM hall, 6303 Zug",7450,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,06/01/2026,19:45:00,HC Ajoie,ZSC Lions,03:05, 0:4|2:0|1:1,,Ende,FALSE,"Raiffeisen Arena, 2900 Porrentruy JU",3551,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,06/01/2026,19:45:00,HC Ambri-Piotta,EV Zug,04:00, 0:0|1:0|3:0,,Ende,FALSE,"Gottardo Arena, 6775 Ambri TI",6185,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,06/01/2026,19:45:00,EHC Biel-Bienne,HC Davos,04:03, 0:1|1:0|2:2|1:0,SO,Ende,FALSE,"Tissot Arena, 2504 Biel/Bienne BE",5844,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,06/01/2026,19:45:00,Fribourg-Gottéron,SCL Tigers,04:03, 0:1|1:0|2:2|1:0,SO,Ende,FALSE,"BCF Arena, 1700 Fribourg FR",9372,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,06/01/2026,19:45:00,Genève-Servette HC,SC Rapperswil-Jona Lakers,03:01, 0:0|0:0|3:1,,Ende,FALSE,"Les Vernets, 1227 Les Acacias GE",5513,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Di,06/01/2026,19:45:00,EHC Kloten,SC Bern,02:03, 0:1|1:2|1:0,,Ende,FALSE,"SWISS Arena, 8302 Kloten ZH",4218,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
Mi,07/01/2026,19:45:00,Lausanne HC,HC Lugano,02:05, 0:0|1:2|1:3,,Ende,FALSE,"Vaudoise Aréna, 1008 Lausanne VD",9246,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Do,08/01/2026,19:45:00,Fribourg-Gottéron,EV Zug,03:02, 0:1|1:1|1:0|1:0,SO,Ende,FALSE,"BCF Arena, 1700 Fribourg FR",9372,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Do,08/01/2026,19:45:00,Genève-Servette HC,HC Lugano,02:01, 0:0|0:1|1:0|1:0,OT,Ende,FALSE,"Les Vernets, 1227 Les Acacias GE",6023,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Do,08/01/2026,20:00:00,SC Rapperswil-Jona Lakers,SCL Tigers,02:01, 0:1|0:0|2:0,,Ende,FALSE,"St.Galler Kantonalbank Arena, 8640 Rapperswil SG",4291,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
Fr,09/01/2026,19:45:00,HC Ajoie,EHC Biel-Bienne,01:02, 0:0|1:2|0:0,,Ende,FALSE,"Raiffeisen Arena, 2900 Porrentruy JU",5021,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,09/01/2026,19:45:00,SC Bern,HC Ambri-Piotta,00:01, 0:0|0:0|0:0|0:1,SO,Ende,FALSE,"PostFinance Arena, 3014 Bern BE",15087,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,09/01/2026,19:45:00,HC Davos,Lausanne HC,05:01, 1:0|1:0|3:1,,Ende,FALSE,"zondacrypto-Arena, 7270 Davos-Platz GR",6547,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,10/01/2026,19:45:00,HC Ambri-Piotta,SC Rapperswil-Jona Lakers,04:03, 1:1|1:2|1:0|1:0,OT,Ende,FALSE,"Gottardo Arena, 6775 Ambri TI",6553,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,10/01/2026,19:45:00,EHC Biel-Bienne,SC Bern,01:02, 0:1|0:1|1:0,,Ende,FALSE,"Tissot Arena, 2504 Biel/Bienne BE",6556,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,10/01/2026,19:45:00,EHC Kloten,Genève-Servette HC,01:03, 0:1|1:1|0:1,,Ende,FALSE,"SWISS Arena, 8302 Kloten ZH",4441,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,10/01/2026,19:45:00,Lausanne HC,Fribourg-Gottéron,00:04, 0:1|0:0|0:3,,Ende,FALSE,"Vaudoise Aréna, 1008 Lausanne VD",9600,"MYSPORTS,LEMANBLEU,LATELE,TELEB",2.02611E+13,NL,CH,Regular Season,90,91,
Sa,10/01/2026,19:45:00,SCL Tigers,HC Davos,03:01, 1:0|1:1|1:0,,Ende,FALSE,"emmental versicherung arena , 3550 Langnau i. E. BE",6000,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,10/01/2026,19:45:00,EV Zug,ZSC Lions,02:03, 1:1|0:0|1:1|0:1,OT,Ende,FALSE,"OYM hall, 6303 Zug",7450,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
So,11/01/2026,19:45:00,ZSC Lions,EHC Kloten,01:00, 0:0|0:0|1:0,,Ende,FALSE,"Swiss Life Arena, 8048 Zürich ZH",12000,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Mi,14/01/2026,19:45:00,HC Ajoie,SCL Tigers,02:01, 0:1|1:0|0:0|1:0,SO,Ende,FALSE,"Raiffeisen Arena, 2900 Porrentruy JU",3496,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Mi,14/01/2026,19:45:00,EV Zug,HC Lugano,02:03, 0:1|1:2|1:0,,Ende,FALSE,"OYM hall, 6303 Zug",6930,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Mi,14/01/2026,19:45:00,Lausanne HC,Genève-Servette HC,00:03, 0:0|0:2|0:1,,Ende,FALSE,"Vaudoise Aréna, 1008 Lausanne VD",9600,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Do,15/01/2026,20:00:00,EHC Biel-Bienne,HC Ambri-Piotta,03:02, 1:0|1:1|0:1|1:0,OT,Ende,FALSE,"Tissot Arena, 2504 Biel/Bienne BE",5817,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
Fr,16/01/2026,19:45:00,SC Bern,HC Lugano,01:04, 0:2|0:1|1:1,,Ende,FALSE,"PostFinance Arena, 3014 Bern BE",14854,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,16/01/2026,19:45:00,EHC Kloten,Lausanne HC,02:03, 0:0|1:1|1:1|0:1,OT,Ende,FALSE,"SWISS Arena, 8302 Kloten ZH",4467,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,16/01/2026,19:45:00,SC Rapperswil-Jona Lakers,ZSC Lions,01:03, 0:1|0:0|1:2,,Ende,FALSE,"St.Galler Kantonalbank Arena, 8640 Rapperswil SG",6100,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
Fr,16/01/2026,19:45:00,SCL Tigers,Genève-Servette HC,03:00, 0:0|1:0|2:0,,Ende,FALSE,"emmental versicherung arena , 3550 Langnau i. E. BE",5820,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,16/01/2026,19:45:00,EV Zug,HC Ajoie,02:04, 1:0|1:3|0:1,,Ende,FALSE,"OYM hall, 6303 Zug",7251,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,17/01/2026,19:45:00,HC Ajoie,HC Davos,02:05, 0:0|1:2|1:3,,Ende,FALSE,"Raiffeisen Arena, 2900 Porrentruy JU",4391,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,17/01/2026,19:45:00,HC Ambri-Piotta,EHC Kloten,02:05, 2:2|0:2|0:1,,Ende,FALSE,"Gottardo Arena, 6775 Ambri TI",6495,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,17/01/2026,19:45:00,Fribourg-Gottéron,EHC Biel-Bienne,06:01, 2:0|0:1|4:0,,Ende,FALSE,"BCF Arena, 1700 Fribourg FR",9372,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,17/01/2026,19:45:00,Genève-Servette HC,EV Zug,04:01, 1:0|3:1|0:0,,Ende,FALSE,"Les Vernets, 1227 Les Acacias GE",7135,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Sa,17/01/2026,19:45:00,ZSC Lions,SC Bern,03:04, 0:1|1:1|2:1|0:1,OT,Ende,FALSE,"Swiss Life Arena, 8048 Zürich ZH",12000,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
So,18/01/2026,15:45:00,HC Lugano,SCL Tigers,04:03, 1:0|1:1|1:2|1:0,SO,Ende,FALSE,"Cornèr Arena, 6948 Porza Ti",6233,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
So,18/01/2026,15:45:00,Lausanne HC,SC Rapperswil-Jona Lakers,03:04, 0:0|2:2|1:1|0:1,OT,Ende,FALSE,"Vaudoise Aréna, 1008 Lausanne VD",9600,MYSPORTS,2.02611E+13,NL,CH,Regular Season,90,91,
Fr,23/01/2026,19:45:00,HC Ambri-Piotta,ZSC Lions,02:04, 1:1|1:0|0:3,,Ende,FALSE,"Gottardo Arena, 6775 Ambri TI",6500,"MYSPORTS,TV24,3PLUS",2.02611E+13,NL,CH,Regular Season,90,91,
