Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Fr;05.12.2025;19:45;SC Rapperswil-Jona Lakers;EHC Biel-Bienne; 2:3; 1:0|1:2|0:0|0:1;SO;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;4722;MYSPORTS;20261105000209;NL;CH;Regular Season
Fr;05.12.2025;19:45;SCL Tigers;EV Zug; 3:1; 1:0|0:1|2:0;;Ende;False;emmental versicherung arena , 3550 Langnau i. E. BE;5575;MYSPORTS;20261105000210;NL;CH;Regular Season
Sa;06.12.2025;19:45;SC Bern;SCL Tigers; 5:1; 2:0|1:0|2:1;;Ende;False;PostFinance Arena, 3014 Bern BE;16503;MYSPORTS;20261105000211;NL;CH;Regular Season
Sa;06.12.2025;19:45;EHC Biel-Bienne;Lausanne HC; 1:2; 1:0|0:0|0:2;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;6240;MYSPORTS;20261105000212;NL;CH;Regular Season
Sa;06.12.2025;19:45;Genève-Servette HC;HC Ajoie; 6:1; 1:0|3:1|2:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;6337;MYSPORTS;20261105000214;NL;CH;Regular Season
So;07.12.2025;14:00;Fribourg-Gottéron;HC Davos; 4:0; 1:0|2:0|1:0;;Ende;False;BCF Arena, 1700 Fribourg FR;9372;MYSPORTS;20261105000213;NL;CH;Regular Season
So;07.12.2025;14:00;EHC Kloten;HC Ambri-Piotta; 2:1; 1:0|0:0|1:1;;Ende;False;SWISS Arena, 8302 Kloten ZH;6632;MYSPORTS;20261105000215;NL;CH;Regular Season
So;07.12.2025;15:45;ZSC Lions;SC Rapperswil-Jona Lakers; 3:1; 1:0|1:0|1:1;;Ende;False;Swiss Life Arena, 8048 Zürich ZH;12000;MYSPORTS;20261105000216;NL;CH;Regular Season
So;07.12.2025;15:45;HC Lugano;SC Bern; 3:1; 1:0|1:1|1:0;;Ende;False;Cornèr Arena, 6948 Porza Ti;5703;MYSPORTS;20261105000228;NL;CH;Regular Season
Mi;17.12.2025;19:45;EV Zug;EHC Kloten; 5:4; 1:1|1:2|3:1;;Ende;False;OYM hall, 6303 Zug;7049;MYSPORTS;20261105000147;NL;CH;Regular Season
